+------------------------------------------------------------+-------------------------+----------------------------+--------------------+---------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------+----------------------------------------------------------------+--------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------+
| Package                                                    | Version                 | License Information Origin | License Expression | License Url                                 | Copyright                                                                                                                                                 | Authors                                                 | Package Project Url                                            | Error                                                  | Error Context                                                                                                     |
| Microsoft.AspNetCore.Mvc.Testing                           | 9.0.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://asp.net/                                               |                                                        |                                                                                                                   |
| Microsoft.AspNetCore.OpenApi                               | 9.0.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://asp.net/                                               |                                                        |                                                                                                                   |
| Microsoft.CodeAnalysis                                     | 4.9.2                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://github.com/dotnet/roslyn                               |                                                        |                                                                                                                   |
| Microsoft.CodeAnalysis                                     | 4.13.0                  | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://github.com/dotnet/roslyn                               |                                                        |                                                                                                                   |
| Microsoft.CodeAnalysis.Analyzers                           | 3.3.4                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://github.com/dotnet/roslyn-analyzers                     |                                                        |                                                                                                                   |
| Microsoft.CodeAnalysis.Analyzers                           | 3.11.0                  | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://github.com/dotnet/roslyn-analyzers                     |                                                        |                                                                                                                   |
| Microsoft.CodeAnalysis.Workspaces.Common                   | 4.13.0                  | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://github.com/dotnet/roslyn                               |                                                        |                                                                                                                   |
| Microsoft.CodeAnalysis.Workspaces.MSBuild                  | 4.13.0                  | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://github.com/dotnet/roslyn                               |                                                        |                                                                                                                   |
| Microsoft.EntityFrameworkCore                              | 9.0.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://docs.microsoft.com/ef/core/                            |                                                        |                                                                                                                   |
| Microsoft.EntityFrameworkCore.Design                       | 9.0.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://docs.microsoft.com/ef/core/                            |                                                        |                                                                                                                   |
| Microsoft.EntityFrameworkCore.Relational                   | 9.0.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://docs.microsoft.com/ef/core/                            |                                                        |                                                                                                                   |
| Microsoft.EntityFrameworkCore.Tools                        | 9.0.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://docs.microsoft.com/ef/core/                            |                                                        |                                                                                                                   |
| Microsoft.Extensions.Caching.Abstractions                  | 9.0.2                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://dot.net/                                               |                                                        |                                                                                                                   |
| Microsoft.Extensions.Caching.Hybrid                        | 9.2.0-preview.1.25105.6 | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://dot.net/                                               |                                                        |                                                                                                                   |
| Microsoft.Extensions.Caching.StackExchangeRedis            | 9.0.2                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://asp.net/                                               |                                                        |                                                                                                                   |
| Microsoft.Extensions.Configuration                         | 9.0.3                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://dot.net/                                               |                                                        |                                                                                                                   |
| Microsoft.Extensions.Configuration.Abstractions            | 9.0.3                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://dot.net/                                               |                                                        |                                                                                                                   |
| Microsoft.Extensions.Configuration.Binder                  | 9.0.3                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://dot.net/                                               |                                                        |                                                                                                                   |
| Microsoft.Extensions.Configuration.CommandLine             | 9.0.3                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://dot.net/                                               |                                                        |                                                                                                                   |
| Microsoft.Extensions.Configuration.EnvironmentVariables    | 9.0.3                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://dot.net/                                               |                                                        |                                                                                                                   |
| Microsoft.Extensions.Configuration.FileExtensions          | 9.0.3                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://dot.net/                                               |                                                        |                                                                                                                   |
| Microsoft.Extensions.Configuration.Json                    | 9.0.3                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://dot.net/                                               |                                                        |                                                                                                                   |
| Microsoft.Extensions.DependencyInjection                   | 9.0.3                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://dot.net/                                               |                                                        |                                                                                                                   |
| Microsoft.Extensions.DependencyInjection.Abstractions      | 9.0.3                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://dot.net/                                               |                                                        |                                                                                                                   |
| Microsoft.Extensions.Diagnostics.HealthChecks.Abstractions | 9.0.3                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://asp.net/                                               |                                                        |                                                                                                                   |
| Microsoft.Extensions.Diagnostics.Testing                   | 9.0.0                   | Expression                 | MIT                | https://licenses.nuget.org/MIT              | © Microsoft Corporation. All rights reserved.                                                                                                             | Microsoft                                               | https://dot.net/                                               |                                                        |                                                                                                                   |
